Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
Well Testing,10044388,,Huabei Shiyou Guanliju
Welsh History Review,00432431 ,,University of Wales Press
Welt der Slaven-Halbjahresschrift fur Slavistik,00432520 ,,Verlag Otto Sagner
Weltwirtschaft,00432652 ,,J.C.B.Mohr
Weltwirtschaftliches Archiv,00432636,,Springer
Werkstatt und Betrieb,00432792,,Carl Hanser Verlag
West African Journal of Applied Ecology,08554307 ,,University of Ghana
West African Journal of Medicine,0189160X,,West African College of Physicians
West African Medical Journal,00433004,,Journal And Magazine Production Services
West Indian Medical Journal,00433144,,University of the West Indies
West of England medical journal,09606440,,Clinical Press
West Virginia dental journal,00433225,,West Virginia dental Association
West Virginia history,0043325X ,,State Dept. of Archives and History
West Virginia Law Review,00433268,,West Virginia University
West Virginia Medical Journal,00433284,,West Virginia State Medical Association
Westerly,0043342X ,,University of Western Australia Press
Western American Literature,00433462 ,,Western Literature Association
Western Birds,01601121 ,,California Field Ornithologists
Western Criminology Review,10964886,,Western Society of Criminology
Western European Politics,01402382,,Frank Cass Publishers
Western Folklore,0043373X ,,California Folklore Society
Western Geographical Series,03152022,,"University of Victoria, Department of geography"
Western Historical Quarterly,00433810 ,,Utah State University
Western Humanities Review,00433845 ,,University of Utah
Western Journal of Agricultural Economics,01621912,,Western Agricultural Economics Association
Western Journal of Applied Forestry,08856095,,Society of American Foresters
Western Journal of Black Studies,01974327,,Washington State University Press
Western Journal of Communication,10570314,,Western States Communication Association
Western Journal of Emergency Medicine,1936900X ,19369018 ,University of California Press
Western Journal of Medicine,00930415,,BMJ
Western Journal of Nursing Research,01939459,,SAGE
Western journal of speech communication : WJSC,01936700,,Western Speech Communication Association
"Western journal of surgery, obstetrics, and gynecology",00995665 ,,Pacific Coast Surgical Association
Western New England law review,01906593 ,,Western New England College
Western North American Naturalist,15270904,,Brigham Young University
Western Political Quarterly,00434078 ,,University of Utah
Western State University law review,03628892 ,,Thomas Jefferson School of Law
West's annotated California codes. California,,,West Group
West's Atlantic reporter.,10483810,,West Publishing Co.
West's California reporter,87502623,,West Group
West's federal reporter : cases argued and determined in the United States courts of appeals and Temporary Emergency Court of Appeals,10483888 ,,West Publishing Co.
West's federal supplement,10477306,,West Publishing Co.
West's New York supplement,10483624,,West Publishing Co.
West's north eastern reporter,10483632,,West Publishing Co.
West's north western reporter,10483640,,West Group
West's Pacific reporter,10449442,,West Publishing Co.
West's south eastern reporter,10426531,,West Publishing Co.
West's southern reporter,10483799,,West Publishing Co.
West's Supreme Court reporter,10483802 ,,West Publishing Co.
Wetland Science,16725948,,Science Press
Wetlands,02775212,,Society of Wetland Scientists
Wetlands Ecology and Management,09234861,15729834,Springer
Whittier law review,01957643,,Whittier College School of Law
WHO Drug Information,10109609,,World Health Organization
Wiadomosci Lekarskie,00435147,,Fundacja Lekarzy Polskich-Pro-Medica
Wiadomosci Parazytologiczne,00435163,,Polskie Towarzystwo Parazytologiczne
Wiadomosci Psychiatryczne,15057429,,Wydawnictwo Medyczne Urban i Partner
"Wiadomosci statystyczne (Warsaw, Poland : 1956)",0043518X,,Polskie Wydawn Gospodarcze
Wideochirurgia I Inne Techniki Maloinwazyjne,18954588 ,,Termedia
Wiederherstellungschirurgie und Traumatologie. Reconstruction surgery and traumatology,,,Karger
Wiener Geographische Schriften,,,Geographisches Institute der Hochschule fur Welthandel
Wiener Klinische Wochenschrift,00435325,,Springer
"Wiener Klinische Wochenschrift, Supplement",03005178,,Springer
Wiener Medizinische Wochenschrift,00435341,1563258X,Springer
Wiener medizinische Wochenschrift. Supplement,03017826,,Hollinek
Wiener Studien,0084005X ,18133924 ,Verlag der Osterreichischen Akademie der Wissenschaften
Wiener Tierarztliche Monatsschrift,02539411,,B W K Public Relations
Wiener Zeitschrift für innere Medizin und ihre Grenzgebiete,00435376,,Urban Und Schwarzenberg
Wiener Zeitschrift für Suchtforschung,02504936,,Boltzmann-Institut Fur Suchtforschung Und Anton Proksch-Institut
Wilderness and Environmental Medicine,10806032,15451534,Alliance Communications Group
Wildfowl,09546324,,Wildfowl and Wetlands Trust
Wildland Firefighter,10863982,,JEMS Communications
Wildlife Biology,09096396,,Nordic Council for Wildlife Research
Wildlife Biology in Practice,16461509 ,16462742 ,Portuguese Wildlife Society
Wildlife Monographs,00840173,,The Wildlife Society
Wildlife Research,10353712,,Commonwealth Scientific and Industrial Research Organization Publishing
Wildlife Society Bulletin,00917648,,The Wildlife Society
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,19390041 ,,Wiley-Blackwell
Wiley interdisciplinary reviews. RNA,17577004 ,17577012 ,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Cognitive Science,19395078 ,19395086 ,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Computational Molecular Science,17590876 ,17590884 ,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Computational Statistics,19395108 ,,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,19424787 ,,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Developmental Biology,17597684 ,17597692 ,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Energy and Environment,20418396 ,2041840X ,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Membrane Transport and Signaling,2190460X ,,Wiley-Blackwell
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,19395094 ,1939005X ,Wiley-Blackwell
Wilhelm Roux' Archiv für Entwicklungsmechanik der Organismen,00435546,,Springer
Wilhelm Roux's Archives of Developmental Biology,03400794,,Springer
Willdenowia,05119618,,Botanischer Garten and Botanisches Museum Berlin-Dahlem
William and Mary Quarterly,00435597,,Omohundro Institute of Early American History and Culture
Wilson Bulletin,00435643,,Wilson Ornithological Society
Wilson Journal of Ornithology,15594491,,Wilson Ornithological Society
"Wind and Structures, An International Journal",12266116,,Techno-Press
Wind Energy,10954244,10991824,Wiley-Blackwell
Wind Engineering,0309524X,,Multi-Science Publishing Co Ltd.
Windows in time,,,University of Virginia
Winterthur Portfolio,00840416 ,15456927 ,University of Chicago Press
Wire,00435996,,Meisenbach GmbH
Wire Industry,00436011,,Publex International Ltd.
Wire journal,0043602X,,The Wire Association International
Wire Journal International,02774275,,Wire Association International Inc.
Wireless Communications and Mobile Computing,15308669,15308677,Wiley-Blackwell
Wireless Communications Design Handbook,18746101,,Elsevier
Wireless Networks,10220038,15728196,Springer
Wireless Personal Communications,09296212,1572834X,Springer
Wireless World,10754385,,Primedia Business Magazines & Media Inc.
WIREs Climate Change,17577780 ,17577799 ,Wiley-Blackwell
Wireworld,09345906,,Vogel
Wireworld international,00436046,,Vogel Verlag und Druck GmbH & Co. KG
Wirtschaft und Statistik,00436143,,Statistisches Bundesamt
Wirtschaftsdienst,00436275,,Springer
Wirtschaftsgeographische Studien,10170510,,Ferdinand Hirt
Wirtschaftsinformatik,09376429,,Springer
Wisconsin Law Review,0043650X,,University of Wisconsin at Madison
Wisconsin magazine of history,00436534 ,,State Historical Society of Wisconsin
Wisconsin Medical Journal,10981861,,Wisconsin Medical Society
Wissenschaft und Umwelt,01706977,,Springer
Wissenschaftliche Beitrage zur Geschichte der Seelenheilkunde,,,Verlag Kommunikative Medien Und Medizin
Wissenschaftliche Zeitschrift der Technischen Unversitat Dresden,00436925,,Technische Universitaet Dresden
WMO Bulletin,00429767,,World Meteorological Organization
Wochenblatt fuer Papierfabrikation,00437131,,Deutscher Fachverlag GmbH
Woman's Art Journal,02707993,,Woman's Art Inc.
Women & Performance: a journal of feminist theory,0740770X,17485819,Taylor & Francis
"Women alive (Los Angeles, Calif.)",10961372,,Being Alive
Women and Birth,18715192,,Elsevier
Women and Criminal Justice,08974454,,Haworth Press
Women and environments,0229480X,,Excalibur Publications
Women and Health,03630242,15410331,Haworth Press
Women and Politics,01957732,15409473,Haworth Press
Women and Therapy,02703149,15410315,Haworth Press
Women in Management Review,09649425,,Emerald
Women: A Cultural Review,09574042,,Taylor & Francis
Women's Health,17455057,,Future Medicine Ltd.
"Women's health (Hillsdale, N.J.)",10772928,,Lawrence Erlbaum Associates Inc.
"Women's health (London, England)",17455065 ,,Future Medicine Ltd.
Women's Health Issues,10493867,,Elsevier
"Women's health journal / Isis International, Latin American and Caribbean Women's Health Network",,,Isis International
Women's Health Medicine,17441870,,Medicine Publishing
Womens Health Newsletter,,,Womens Health
Women's History Review,09612025,1747583X,Triangle Journals Ltd.
Women's Oncology Review,14733404,,Parthenon Publishing Group
Women's rights law reporter,00858269,,Rutgers University
Women's studies,00497878,,Taylor & Francis
Women's Studies in Communication,07491409 ,2152999X ,Taylor & Francis
Women's Studies International Forum,02775395,,Elsevier
Women's studies international quarterly,01480685,,Elsevier
Women's Writing,09699082 ,17475848 ,Triangle Journals Ltd.
Wood and Fiber Science,07356161,,Society of Wood Science and Technology
Wood Markets Newsletter,,,Russell E. Taylor Associates
Wood Material Science and Engineering,17480272,17480280,Taylor & Francis
Wood Research,13364561,,State Forest Products Research Institute
Wood Science,00437700 ,,Forest Products Society
Wood Science and Technology,00437719,14325225,Springer
Wood Technology,10671064,,Miller Freeman
Wool and Woollens of India,00437808,,Indian Woollen Mills ' Federation
Wool Record,02636131,,World Textile Publications Ltd.
Wool Technology and Sheep Breeding,00437875,,Wool Research Organisation of New Zealand Inc.
Wool Textile Journal,10031456,,Quanguo Maofang Keji Xinxi Zhongxin
Word,00437956,,International Linguistic Association
Word and Image,02666286,,Taylor & Francis
Word of Mouth,10483950,,SAGE
Wordsworth Circle,00438006 ,,Temple University
Work,10519815,,IOS Press
Work and Occupations,07308884,,SAGE
Work and Stress,02678373,14645335,Taylor & Francis
Work Based Learning in Primary Care,17403715,17403723,Radcliffe Medical Press Ltd.
Work Boat World,10373748,,"Baird Publications Pty, Ltd."
"Work, Employment and Society",09500170,,SAGE
"Working Paper - Centre for Development Research, Copenhagen",,,Centre for Development Research
Working Paper - Centre for Social and Economic Research on the Global Environment,09678875,,"University of East Anglia, Centre for Social and Economic Research on the Global Environment"
Working Paper - Chr. Michelson Institute,08043639,,CMI (Chr. Michelsen Institute)
Working Paper of the Helen Kellogg Institute for International Studies,,,
"Working Paper of the University of Leeds, School of Geography",,,
Working with Older People,13663666 ,,Pavilion Publishing Ltd.
Workplace health & safety,21650799 ,,Slack Incorporated
Workplace HR and Safety Magazine,19374569,,
"WORLD (Oakland, Calif. : 1993)",15380726,,WORLD
"World Academy of Science, Engineering and Technology",2010376X ,20103778 ,World Academy of Science Engineering and Technology
World Affairs,00438200,,Heldref Publications
World Allergy Organization Journal,19394551,,Wolters Kluwer Health
World Applied Sciences Journal,18184952 ,19916426 ,International Digital Organization for Scientific Information
World Archaeology,00438243,14701375,Taylor & Francis
World Bank Country Study,02532123,,World Bank Group
World Bank Discusssion Papers,0259210X,,World Bank Group
World Bank Economic Review,02586770,1564698X,OUP
World Bank Living Standards Measurement Study Working Paper,02534517,,World Bank Group
World Bank Research Observer,02573032,15646971,OUP
World Bank Technical Paper,02537494,,World Bank Group
World Bank Working Paper,17265878,,World Bank Group
World Cement,02636050,,Palladian Publications Ltd.
World cement technology,03088855,,Palladian Publications Ltd.
World Chinese Journal of Digestology,10093079,,Shi Jie Wei Chang Bing Xue Za Zhi She
World Clothing Manufacturer,13506773,,World Textile Publications Ltd.
World Construction,00438375,,Questar Productions
World Crop Pests,15724379,,Elsevier
World Data Center A - Oceanography,,,
World Development,0305750X,,Elsevier
World Dredging & Marine Construction,00438405,,World Dredging Mining and Construction
"World Dredging, Mining and Constructions",10450343,,World Dredging Magazine
World Economy,03785920,14679701,Wiley-Blackwell
World Electric Vehicle Journal,20326653 ,,The World Electric Vehicle Association (WEVA)
World Englishes,08832919,,Elsevier
World Food Programme News,00498084,,Public Affairs & Information Branch of the World Food Programme
World Futures,02604027 ,,Taylor & Francis
World Gas Intelligence,10528776 ,,Energy Intelligence Group
World Health,00438502,,World Health Organization
World health & population,17183340,,"Longwoods Publishing, Corp."
World Health Forum,02512432,,World Health Organization
World Health Organization Chronicle,00429694 ,,World Health Organization
World Health Organization Regional Publications - European Series,03782255,,World Health Organization
World Health Statistics Quarterly,03798070,,World Health Organization
World Heart Journal,15564002,,"Nova Science Publishers, Inc."
World Hospitals,05123135,,International Hospital Federation
World hospitals and health services : the official journal of the International Hospital Federation,10290540,,International Hospital Federation
World Information on Earthquake Engineering,10076069,,Science Press
World Journal of Biological Psychiatry,15622975,,WFSBP
World Journal of Emergency Surgery,17497922,,Springer
World Journal of Endocrine Surgery,09755039 ,09757902 ,Jaypee Brothers Medical Publishers (P) Ltd
World Journal of Gastroenterology,10079327,,W J G Press
World Journal of Hepatology,,19485182 ,Baishideng Publishing Group
World Journal of Laparoscopic Surgery,09745092 ,,Jaypee Brothers Medical Publishers (P) Ltd
World Journal of Medical Sciences,18173055,19904061,International Digital Organization for Scientific Information (IDOSI)
World Journal of Microbiology and Biotechnology,09593993,15730972,Springer
World Journal of Modelling and Simulation,17467233,,World Academic Press
World journal of orthodontics,15305678,,Quintessence Publishing Company
World Journal of Pediatrics,17088569 ,18670687 ,Springer
World Journal of Surgery,03642313,14322323,Springer
World Journal of Surgical Oncology,14777819,,Springer
World Journal of Urology,07244983,14338726,Springer
World Literature Studies,13379690 ,,Ustav svetovej literatury SAV
World Literature Today,01963570 ,19458134 ,University of Oklahoma
World Medical and Health Policy,19484682 ,21532028 ,Walter de Gruyter
World medical journal,00498122 ,,World Medical Association
World Mycotoxin Journal,18750710 ,,Wageningen Academic Publishers
World neurology,05123380 ,,Elsevier
World Neurosurgery,18788750,,Elsevier
World of Irish nursing,13938088,,MedMedia Ltd.
World of Metallurgy - ERZMETALL,16132394,,GDMB Informationsgesellschaft mbH
World of Mining - Surface and Underground,16132408,,GDMB Informationsgesellschaft mbH
World of Music,00438774 ,,Verlag fur Wissenschaft und Bildung
World of work : the magazine of the ILO,10200010,1564460X,International Labour Office
World Oil,00438790,,Gulf Publishing Co.
World Patent Information,01722190,,Elsevier
World Patrol and Rescue Craft,14403307,,"Baird Publications Pty, Ltd."
World Policy Journal,07402775,,World Policy Institute
World Political Science Review,19356226,,Walter de Gruyter
World Politics,00438871,10863338,The Johns Hopkins University Press
World Psychiatry,17238617,,Elsevier
World Pumps,02621762,,Elsevier
World Rabbit Science,12575011,,Universitat Politècnica de València
World Refining,10874003,,Hart Publications Incorporated
"World Review of Entrepreneurship, Management and Sustainable Development",17460573,17460581,Inderscience
World Review of Intermodal Transportation Research,17494729 ,17494737 ,Inderscience
World review of nutrition and dietetics,00842230,,Karger
"World Review of Science, Technology and Sustainable Development",17412242,17412234,Inderscience
World Sports Activewear,1356644X,,World Trades Publishing
World Today,00439134,,OUP
World Trade Review,14747456 ,14753138 ,Cambridge University Press
World Transactions on Engineering and Technology Education,14462257 ,,World Institute for Engineering and Technology Education (WIETE)
World Tunnelling and Subsurface Excavation,09568700,,Mining Journal Ltd.
World Wastes,0161035X,,Communication Channels
World Watch,08960615,,Worldwatch Institute
World Water,01409050,,Faversham House Group Ltd.
World Water & Environmental Engineer,0963584X,,Faversham House Group Ltd.
World Water & Environmental Engineering,1354313X,,Faversham House Group Ltd.
World Wide Web,1386145X,15731413,Springer
World Wide Web Journal of Biology,,,Epress Inc.
World Wide Wounds,13692607,,Surgical Materials Testing Laboratory
World's Poultry Science Journal,00439339,,CABI Publishing
Worldviews on Evidence-Based Nursing,1545102X,17416787,Wiley-Blackwell
"Worldviews: Environment, Culture, Religion",13635247 ,,Brill
Worldwatch Paper,02708019,,Worldwatch Institute
Worldwide Hospitality and Tourism Themes,17554217 ,,Emarald
WormBook : the online review of C. elegans biology,15518507,,
Wound Ballistics Review,10550305,,International Wound Ballistics Association
Wound Medicine,22139095 ,,Elsevier
Wound Repair and Regeneration,10671927,1524475X,Wiley-Blackwell
Wounds,10447946,,H M P Communications
Wounds UK,17466814,,Wounds UK
Writing Systems Research,17586801 ,1758681X ,Taylor & Francis
Written Communication,07410883,,SAGE
Written Language and Literacy,13876732,,John Benjamins Publishing Company
WSEAS Transactions on Applied and Theoretical Mechanics,19918747 ,,World Scientific and Engineering Academy and Society (WSEAS) Press
WSEAS Transactions on Biology and Biomedicine,11099518 ,,World Scientific and Engineering Academy and Society
WSEAS Transactions on Business and Economics,11099526,,World Scientific and Engineering Academy and Society (WSEAS) Press
WSEAS Transactions on Circuits and Systems,11092734,,WSEAS Press
WSEAS Transactions on Communications,11092742,,WSEAS Press
WSEAS Transactions on Computer Research,19918755,,World Scientific and Engineering Academy and Society (WSEAS) Press
WSEAS Transactions on Computers,11092750,,World Scientific and Engineering Academy and Society
WSEAS Transactions on Electronics,11099445,,
WSEAS Transactions on Environment and Development,17905079,,WSEAS Press
WSEAS Transactions on Fluid Mechanics,17905087,,World Scientific and Engineering Academy and Society (WSEAS) Press
WSEAS Transactions on Heat and Mass Transfer,17905044,,World Scientific and Engineering Academy and Society (WSEAS) Press
WSEAS Transactions on Information Science and Applications,17900832,,WSEAS Press
WSEAS Transactions on Mathematics,11092769,,WSEAS Press
WSEAS Transactions on Power Systems,17905060 ,2224350X ,World Scientific and Engineering Academy and Society
WSEAS Transactions on Signal Processing,17905052 ,,World Scientific and Engineering Academy and Society
WSEAS Transactions on Systems,11092777,,WSEAS Press
WSEAS Transactions on Systems and Control,19918763,,World Scientific and Engineering Academy and Society (WSEAS) Press
Wspolczesna Onkologia,14282526,,Termedia
Wuhan Daxue Xuebao (Gongxue Ban)/Engineering Journal of Wuhan University,1006155X,,Wuhan University of Hydraulic and Electric Engineering
Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University,16718860,,Wuhan Cehui Keji Daxue/Wuhan Technical University of Surveying and Mapping
Wuhan Daxue Xuebao/Journal of Wuhan University,16718836,,Wuhan Daxue
Wuhan Keji Daxue Xuebao (Ziran Kexue Ban)/Journal of Wuhan University of Science and Technology (Natural Science Edition),10014985,,China Educ Book Import Export Corp.
Wuhan Ligong Daxue Xuebao (Jiaotong Kexue Yu Gongcheng Ban)/Journal of Wuhan University of Technology (Transportation Science and Engineering),10062823,,Wuhan University of Technology
Wuhan University Journal of Natural Sciences,10071202,,Wuhan Daxue
Wuji Cailiao Xuebao/Journal of Inorganic Materials,1000324X,,Science Press
Wulfenia,1561882X ,,Botanischer Garten des Landes Karnten
Wuli Xuebao/Acta Physica Sinica,10003290,,Science Press
Wurzburger medizinhistorische Forschungen,03446948,,Horst Wellm Verlag
Wurzburger medizinhistorische Mitteilungen / im Auftrage der Wurzburger medizinhistorischen Gesellschaft und in Verbindung mit dem Institut für Geschichte der Medizin der Universitat Wurzburg,01775227,,Konigshausen und Neumann
Wutan Huatan Jisuan Jishu,10011749,,Gai-Kan
Xenobiotica,00498254,13665928,Taylor & Francis
Xenotransplantation,0908665X,13993089,Wiley-Blackwell
Xi bao yu fen zi mian yi xue za zhi = Chinese journal of cellular and molecular immunology,10078738,,Fourth Military Medical University
Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics,1001506X,,China International Book Trading Corp./Zhongguo Guoji Tushu Maoyi Zonggongsi
Xi'an Dianzi Keji Daxue Xuebao/Journal of Xidian University,10012400,,Xi's an Dianzi Keji Daxue
Xi'an Gonglu Jiaotong Daxue Xuebao/Journal of Xi'an Highway University,10074112,,Xian Gonglu Jiaotong Daxue/Xian Highway University
Xi'an Jianzhu Keji Daxue Xuebao/Journal of Xi'an University of Architecture & Technology,10067930,,Xi'an University of Architecture Technology
"Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition",1673064X,,Xi'an Petroleum Institute
Xi'an Shiyou Xueyuan Xuebao/Journal of Xi'an Petroleum Institute (Natural Science Edition),10015361,,Xian Petroleum University
Xiandai Huagong/Modern Chemical Industry,02534320,,China National Chemical Information Center
Xiangtan Daxue Ziran Kexue Xuebao/Natural Science Journal of Xiangran Unviversity,10005900,,Xiangtan Daxue
Xiangtan Kuangye Xueyuan Xuebao/Journal of Xiangtan Mining Institute,10009930,,Xiangtan Polytechnic University
Xiaoxing Weixing Jisuanji Xitong/Mini-Micro Systems,10001220,,Zhongguo Kexueyuan
Xibei Fangzhi Gongxueyuan Xuebao (Journal of Northwest Institute of Textile Science and Technology),10017305,,Northwest Institute of Textile Science and Technology
Xibei Gongye Daxue Xuebao/Journal of Northwestern Polytechnical University,10002758,,Xibei Gongye Daxue
Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University,02582724,,Xinan Jiaotong Daxue
Xinan Shiyou Xueyuan Xuebao/Journal of Southwestern Petroleum Institute,10002634,,Southwestern Petroleum Institute
Xinjianzhu/New Architecture,10003959,,Huazhong University of Science and Technology
Xinxing Tan Cailiao/New Carbon Materials,10078827,,Zhongguo Kexueyuan
Xitong Fangzhen Xuebao/Acta Simulata Systematica Sinica,1004731X,,Zhongguo Xitong Fangzhen Xuehui
Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice,10006788,,Zhongguo Xitong Gongcheng Xuehui
Xiyou jinshu,02587076 ,,Chinese Society of Power Engineering
Xiyou Jinshu Cailiao Yu Gongcheng/Rare Metal Materials and Engineering,1002185X,,Xibei Youse Jinshu Yanjiuyuan
XLinguae,13378384 ,,Slovenska Vzdelavacia a Obstaravacia s.r.o
X-Ray Optics and Instrumentation,16877632,16877640,Hindawi
X-Ray Spectrometry,00498246,10974539,Wiley-Blackwell
X-ray Structure Analysis Online,,18833578 ,Japan Society for Analytical Chemistry
Yadian Yu Shengguang/Piezoelectrics and Acoustooptics,10042474,,Dianzi Gongye Bu
Yakhteh,15614921,,Jehad Daneshgahi of Iran Medical Sciences University
"Yakubutsu, seishin, kodo = Japanese journal of psychopharmacology",02855313,,Nihon Shinkei Seishin Yakuri Gakkai/Japanese Society of Neuropsychophamacology
Yakugaku Zasshi,00316903,,Pharmaceutical Society of Japan
Yakushigaku zasshi. The Journal of Japanese history of pharmacy,02852314,,Japanese Society Of History Of Pharmacy
Yale French Studies,00440078 ,,Yale French Studies
Yale Journal of Biology and Medicine,00440086,15514056,"Yale Journal of Biology and Medicine, Inc."
"Yale journal of health policy, law, and ethics",15353532,,Yale University Press
Yale journal on regulation,07419457 ,,Yale Journal on Regulation
Yale law & policy review,07408048,,Yale University Press
Yale Law Journal,00440094,,"Yale Journal Co., Inc."
Yale Review,00440124 ,14679736 ,Wiley-Blackwell
Yale University Library Gazette,00440175 ,,Yale University Press
Yamaguchi Medical Journal,05131731,,Yamaguchi Kenritsu Ika Daigaku Igakkai
Yanshilixue Yu Gongcheng Xuebao/Chinese Journal of Rock Mechanics and Engineering,10006915,,Institute of Rock and Soil Mechanics
Yantu Gongcheng Xuebao/Chinese Journal of Geotechnical Engineering,10004548,,Editorial Office of Chinese Journal of Geotechnical Engineering
Yantu Lixue/Rock and Soil Mechanics,10007598,,Zhongguo Kexueyuan
Yao xue xue bao = Acta pharmaceutica Sinica,05134870,,Nongton Jie
YC Young Children,15386619,,National Association for the Education of Young Children
Yearbook - Association of Pacific Coast Geographers,00669628,,Oregon State University Press
Yearbook - Conference of Latin Americanist Geographers,10543074,,"Dept. of Geography and Geology, Ball State University"
Yearbook for Traditional Music,07401558 ,,International Council for Traditional Music
Yearbook of medical informatics,,,International Medical Informatics Association
Yearbook of Physical Anthropology,0096848X,,Wiley-Blackwell
Year's Work in Critical and Cultural Theory,10774254 ,,OUP
Year's Work in English Studies,00844144 ,,OUP
Yeast,0749503X,10970061,Wiley-Blackwell
Yejin Fenxi/Metallurgical Analysis,10007571,,Central Iron and Steel Research Institute
Yeni Symposium,13008773 ,13044591 ,Cerrahpasa Tip Fakultesi Psikiyatri Klinigi
Yeni tip tarihi arastirmalari = The new history of medicine studies,1300669X,,Ilsan Iltas
Yerbilimleri/ Earth Sciences,13012894,,University of Hacettepe
Yi chuan = Hereditas / Zhongguo yi chuan xue hui bian ji.,02539772,,Science Press
Yi chuan xue bao = Acta genetica Sinica,03794172,,Science Press
Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument,02543087,,Yiqi Yibiao Xuebao Bianjibu
Yiddish,03644308,,Queens College
Ying Yong Li Xue Xue Bao/Chinese Journal of Applied Mechanics,10004939,,Xinan Jiaotong Daxue
Yingxiang Kexue yu Guanghuaxue/Imaging Science and Photochemistry,16740475 ,,Chinese Academy of Science
Yingyong Jichu yu Gongcheng Kexue Xuebao/Journal of Basic Science and Engineering,10050930,,"Zhongguo Guanli Kexue Yanjiuyuan, Yingyong Jichu Yu Gongcheng Kexue Yanjiusuo"
Yingyong Jiguang/Applied Laser Technology,1000372X,,Shanghai Scientific and Technical Publishers
Yingyong Kexue Xuebao/Journal of Applied Sciences,02558297,,Shanghai Science and Technology Press
Yiyong Shengwu Lixue/Journal of Medical Biomechanics,10047220 ,,Biomedical Engineering Bianji Bu
Ymer,00440477,,Svenska sallskapet for anthropologi och geografi
Yogyo Kyokai Shi/Journal of the Ceramic Society of Japan,03727718,,Yogyo Kyokai
Yojana,00440515,,Ministry of Information and Broadcasting
Yokohama Medical Journal,03727726,,Yokohama-shiritsu Daigaku
Yokufuen chosa kenkyu kiyo. Acta gerontologica Japonica,00015768 ,,Yokufukai
Yokufukai Geriatric Journal,00015768 ,,Yokufukai
Yonago Acta Medica,05135710,13468049,Tottori Daigaku
Yonsei Medical Journal,05135796,,Yonsei University
Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society,02884771,,Japan Welding Society/Yosetsu Gakkai
Yosetsu Gakkai Shi/Journal of the Japan Welding Society,00214787,,Japan Welding Society/Yosetsu Gakkai
You qi chuyun,10008241,,J Agency OGST
Young,11033088 ,,SAGE
Young Children,00440728,,National Association for the Education of Young Children
Young Exceptional Children,10962506,,SAGE
Your Oklahoma Dental Association journal,01492594,,Oklahoma Dental Association
Youth and Society,0044118X,,SAGE
Youth Justice,14732254,,SAGE
Youth Studies Australia,10382569 ,,National Clearinghouse for Youth Studies
Youth Theatre Journal,08929092 ,,Taylor & Francis
Youth Violence and Juvenile Justice,15412040,,SAGE
Yuanzineng Kexue Jishu/Atomic Energy Science and Technology,10006931,,China Institute of Atomic Energy
Yugoslav Journal of Operations Research,03540243,,University of Belgrade
Yugoslav Survey,00441341,00226114,Jugoslovenski Pregled
Yuhang Xuebao/Journal of Astronautics,10001328,,Yuhang Xuebao Bianjibu
Yuki Gosei Kagaku Kyokaishi/Journal of Synthetic Organic Chemistry,00379980,,Society of Synthetic Organic Chemistry
Z Zagadnien Nauk Sadowych,12307483,,Instytut Ekspertyz Sadowych im Prof. Dra. Jana Sehna w Krakowie
ZAC Zeitschrift für Antimikrobielle Antineoplastische Chemotherapie,07249004,,Futuramed Publishers Gmbh
Zacchia,00441570,,Societa Editrice Universo
"Zahn-, Mund-, und Kieferheilkunde mit Zentralblatt",03036464,,Johann Ambrosius Barth
Zahnarztliche Praxis,00441651,,Elsevier
Zahnärztliche Welt,03728005 ,,Verlag Zahnarztlich Welt
"Zahnärztliche Welt, zahnärztliche Reform, ZWR",0514180X ,,Huthig
"Zahnarztliche Welt, zahnarztliche Rundschau, ZWR, vereinigt mit Zahnarztliche Reform",03011607,,Huthig
Zairyo to Kankyo/ Corrosion Engineering,09170480,,Fushoku Boshoku Kyokai
"Zairyo/Journal of the Society of Materials Science, Japan",05145163,,Society of Materials Science Japan
ZAMM Zeitschrift für Angewandte Mathematik und Mechanik,00442267,15214001,Wiley-Blackwell
Zasshi Journal. Nihon Kyobu Geka Gakkai,03694739,,Nihon Kyobu Geka Gakkai
Zavodskaya Laboratoriya,03214265,,Tsvetnaya Metallurgiya
